scene_id,title,start_timecode,end_timecode,duration_seconds,voice_reference
S51,VẬY TẠI SAO LẠI GỌI NÓ LÀ AGENT?,17:27.000,17:52.000,25.000,CUE_S51
S52,SO SÁNH CHAT COMPLETION VỚI AGENT CORE,17:52.000,18:11.000,19.000,CUE_S52
S53,NHỮNG THỨ CHÚNG TA CỐ Ý KHÔNG BUILD,18:11.000,18:30.000,19.000,CUE_S53
S54,NGUYÊN TẮC LỚN CỦA SERIES,18:30.000,18:55.000,25.000,CUE_S54
S55,MINH HỌA ROADMAP BẰNG PROBLEM-DRIVEN DEVELOPMENT,18:55.000,19:08.000,13.000,CUE_S55
S56,REVIEW BỐN ABSTRACTION,19:08.000,19:16.000,8.000,CUE_S56
S57,KIẾN TRÚC V0.1,19:16.000,19:24.000,8.000,CUE_S57
S58,REPOSITORY REVIEW,19:24.000,19:43.000,19.000,CUE_S58
S59,README ARCHITECTURE,19:43.000,19:57.000,14.000,CUE_S59
S60,VERSIONING,19:57.000,20:09.000,12.000,CUE_S60
S61,TẠO CẢM GIÁC “HỆ THỐNG ĐANG LỚN LÊN”,20:09.000,20:23.000,14.000,CUE_S61
S62,DEMO GIỚI HẠN CỦA AGENT HIỆN TẠI,20:23.000,20:33.000,10.000,CUE_S62
S63,THỬ MỘT TASK CẦN HÀNH ĐỘNG,20:33.000,20:50.000,17.000,CUE_S63
S64,ĐIỂM NHẤN VIDEO,20:50.000,21:10.000,20.000,CUE_S64
S65,ĐẶT VẤN ĐỀ CHO VIDEO 03,21:10.000,21:18.000,8.000,CUE_S65
S66,BA CÂU HỎI CHO VIDEO SAU,21:18.000,21:26.000,8.000,CUE_S66
S67,TEASER CODE,21:26.000,21:34.000,8.000,CUE_S67
S68,TEASER ARCHITECTURE,21:34.000,21:42.000,8.000,CUE_S68
S69,KẾT LUẬN BẰNG MỘT CÂU,21:42.000,22:04.000,22.000,CUE_S69
S70,END CARD,22:04.000,22:12.000,8.000,CUE_S70
